cd_cliente,cd_municipio,ds_endereco,nr_endereco,bairro
3180,3300233,TRAVESSA DE NUNES,1772,FLAMENGO
3181,3300258,VALE THEO VIEIRA,878,ESTORIL
3182,3300308,PRAIA DE FARIAS,4359,SANTO ANTÔNIO
3183,3300407,ESTAÇÃO RAQUEL DAS NEVES,2499,NOVA ESPERANÇA
3184,3300456,ALAMEDA MONTEIRO,2087,VILA SESC
3185,3300506,FEIRA DE NOGUEIRA,2441,GROTA
3186,3300605,TREVO MARTINS,3903,PAQUETÁ
3187,3300704,ESPLANADA JOÃO GABRIEL JESUS,4371,CAMPONESA 2ª SEÇÃO
3188,3300803,TREVO DE PIRES,4665,VILA MADRE GERTRUDES 2ª SEÇÃO
3189,3300902,MORRO CARDOSO,796,VILA ENGENHO NOGUEIRA
3190,3300936,VIA DANILO LOPES,4070,NOVO OURO PRETO
3191,3300951,LOTEAMENTO FARIAS,2107,UNIVERSO
3192,3301009,VALE SOUZA,1255,SÃO JOSÉ
3193,3301108,CONDOMÍNIO MILENA MELO,64,MIRAMAR
3194,3301157,CHÁCARA DE SILVA,4388,MIRAMAR
3195,3301207,JARDIM PEREIRA,4414,GARÇAS
3196,3301306,PASSARELA JOÃO PEDRO CALDEIRA,3727,CÔNEGO PINHEIRO 2ª SEÇÃO
3197,3301405,AEROPORTO MAYSA REZENDE,4340,NOVO SANTA CECILIA
3198,3301504,VEREDA PIRES,3752,VILA CANTO DO SABIÁ
3199,3301603,CONDOMÍNIO CAUÊ LIMA,4537,MARIQUINHAS
3200,3301702,CAMPO DE CASTRO,3781,CORAÇÃO DE JESUS
3201,3301801,PASSARELA DE REZENDE,4194,CHÁCARA LEONINA
3202,3301850,RODOVIA COSTELA,1238,PEDREIRA PADRO LOPES
3203,3301876,ÁREA DE FERREIRA,2360,CONJUNTO SÃO FRANCISCO DE ASSIS
3204,3301900,TRAVESSA FELIPE LOPES,2210,CALAFATE
3205,3302007,QUADRA DE COSTELA,4323,CÔNEGO PINHEIRO 2ª SEÇÃO
3206,3302056,ALAMEDA CLARA MOURA,4391,VILA JARDIM ALVORADA
3207,3302106,VALE PEDRO LUCAS GONÇALVES,2781,ACABA MUNDO
3208,3302205,ESTRADA DE SANTOS,1540,ALTO BARROCA
3209,3302254,RODOVIA DIAS,342,NOVA CINTRA
3210,3302270,MORRO IGOR MARTINS,4633,JARDIM AMÉRICA
3211,3302304,COLÔNIA CORREIA,2761,AGUAS CLARAS
3212,3302403,ÁREA DE SOUZA,2000,CACHOEIRINHA
3213,3302452,SÍTIO CAUÊ OLIVEIRA,835,CORAÇÃO DE JESUS
3214,3302502,VIADUTO SANTOS,4555,VILA MARIA
3215,3302601,CHÁCARA DE GONÇALVES,2552,NAZARE
3216,3302700,ÁREA DE DA CONCEIÇÃO,174,CONJUNTO TAQUARIL
3217,3302809,VEREDA CAIO RODRIGUES,1315,BIQUINHAS
3218,3302858,LAGO MOREIRA,4986,CONJUNTO NOVO DOM BOSCO
3219,3302908,CAMPO SILVEIRA,2658,NAZARE
3220,3303005,COLÔNIA RAFAEL DA CONCEIÇÃO,2137,ANDIROBA
3221,3303104,JARDIM ANTÔNIO VIEIRA,1113,PARAÍSO
3222,3303203,MORRO DE MELO,4011,VILA PETROPOLIS
3223,3303302,FEIRA DE DA ROSA,2572,CACHOEIRINHA
3224,3303401,VIA SABRINA DA CRUZ,4075,PANTANAL
3225,3303500,TREVO DE DA MOTA,4351,CORAÇÃO DE JESUS
3226,3303609,ESTAÇÃO TEIXEIRA,4200,ALTO CAIÇARAS
3227,3303708,VALE NUNES,489,PIRATININGA
3228,3303807,RUA ARAÚJO,4820,PILAR
3229,3303856,TRAVESSA MARINA SALES,2555,NOVO GLÓRIA
3230,3303906,TREVO DE DA CONCEIÇÃO,2799,VILA SÃO GERALDO
3231,3303955,AVENIDA DE NASCIMENTO,2820,NOVO TUPI
3232,3304003,VALE DE LIMA,4399,VILA JARDIM SÃO JOSÉ
3233,3304102,RODOVIA DAVI LUCCA PINTO,4788,EYMARD
3234,3304110,SÍTIO DA ROCHA,3838,FLAMENGO
3235,3304128,RUA DE DA MOTA,2514,VILA ESPLANADA
3236,3304144,ALAMEDA DUARTE,690,JARDIM LEBLON
3237,3304151,MORRO ARAGÃO,949,SÃO JOÃO BATISTA
3238,3304201,FEIRA FERNANDA DA MATA,1228,GAMELEIRA
3239,3304300,VIA DE DA ROCHA,1179,SANTA RITA DE CÁSSIA
3240,3304409,LAGO RIBEIRO,1611,VILA NOVO SÃO LUCAS
3241,3304508,VIA DE MELO,1592,LINDÉIA
3242,3304524,LARGO ANA JÚLIA DA COSTA,2710,VILA DO POMBAL
3243,3304557,RODOVIA CARVALHO,64,LAGOINHA LEBLON
3244,3304607,FAZENDA SANTOS,2283,VILA MARIA
3245,3304706,TRECHO DE PIRES,455,BARREIRO
3246,3304755,LAGO PINTO,51,ESTRELA
3247,3304805,RUA ISIS DIAS,4656,VILA CALAFATE
3248,3304904,FAZENDA DE GOMES,4147,VILA ENGENHO NOGUEIRA
3249,3305000,QUADRA DE ARAÚJO,4931,MONTE SÃO JOSÉ
3250,3305109,SÍTIO CARVALHO,1787,APARECIDA 7ª SEÇÃO
3251,3305133,PARQUE CAROLINA DA MATA,2992,DOM SILVERIO
3252,3305158,ESPLANADA NICOLAS SANTOS,1040,VILA BANDEIRANTES
3253,3305208,TREVO LEVI MARTINS,2682,RIO BRANCO
3254,3305307,LADEIRA DE MARTINS,524,BARROCA
3255,3305406,ALAMEDA TEIXEIRA,3356,CARDOSO
3256,3305505,LAGO JOÃO GUILHERME SOUZA,338,TIRADENTES
3257,3305554,QUADRA ISADORA LOPES,859,SERRA DO CURRAL
3258,3305604,LAGO CORREIA,3587,VILA SANTA MONICA 2ª SEÇÃO
3259,3305703,ESTAÇÃO MORAES,1570,CÉU AZUL
3260,3305752,CONDOMÍNIO DE SALES,3031,VILA DA ÁRIA
3261,3305802,JARDIM MARIA FERNANDA FREITAS,3370,VILA SÃO DIMAS
3262,3305901,MORRO COSTA,1192,CORUMBIARA
3263,3306008,DISTRITO ALVES,2745,CASTANHEIRA
3264,3306107,CAMPO DE CAVALCANTI,1664,OLHOS D'ÁGUA
3265,3306156,SÍTIO SILVEIRA,959,PADRE EUSTÁQUIO
3266,3306206,FEIRA ANA CLARA ARAÚJO,4422,VILA ANTENA MONTANHÊS
3267,3306305,RUA DA MOTA,3850,CAPITÃO EDUARDO
3268,3500105,LAGOA JÚLIA SILVEIRA,1325,SÃO GONÇALO
3269,3500204,FAZENDA DE PEIXOTO,3924,SÃO FRANCISCO
3270,3500303,PASSARELA DE DA CONCEIÇÃO,2658,AARÃO REIS
3271,3500402,PARQUE MARIA LUIZA LIMA,494,CACHOEIRINHA
3272,3500501,CAMPO CARVALHO,517,ALTO DAS ANTENAS
3273,3500550,LAGOA ANA LUIZA PINTO,1480,INDEPENDÊNCIA
3274,3500600,RECANTO COSTA,721,BEIRA LINHA
3275,3500709,PRAÇA DE MORAES,3838,CAETANO FURQUIM
3276,3500758,VALE MARIANE BARROS,108,FLORESTA
3277,3500808,VIELA MURILO PORTO,928,FLORESTA
3278,3500907,DISTRITO SOPHIE VIEIRA,1379,SÃO GERALDO
3279,3501004,COLÔNIA LEANDRO MONTEIRO,1035,NOSSA SENHORA DE FÁTIMA
3280,3501103,LOTEAMENTO DE DA LUZ,1046,NOVA CINTRA
3281,3501152,TREVO DE MELO,2233,SAGRADA FAMÍLIA
3282,3501202,AEROPORTO ARAGÃO,159,JARDIM GUANABARA
3283,3501301,AEROPORTO CARVALHO,2915,VILA BARRAGEM SANTA LÚCIA
3284,3501400,CHÁCARA LUIZ FELIPE SOUZA,4819,NOVA VISTA
3285,3501509,JARDIM DE RIBEIRO,2338,SÃO JORGE 1ª SEÇÃO
3286,3501608,VALE IGOR GONÇALVES,2576,VILA PINHO
3287,3501707,FAVELA ALICE ALMEIDA,2354,COPACABANA
3288,3501806,VEREDA ARAGÃO,4362,VILA NOVA DOS MILIONARIOS
3289,3501905,COLÔNIA DA MATA,4274,ARAGUAIA
3290,3502002,LOTEAMENTO LUIGI CAMPOS,1092,VILA NOVO SÃO LUCAS
3291,3502101,CHÁCARA SANTOS,2665,LARANJEIRAS
3292,3502200,NÚCLEO ALEXANDRE LOPES,4665,CONJUNTO CALIFÓRNIA II
3293,3502309,PRAIA LORENZO GONÇALVES,3820,FLORAMAR
3294,3502408,CHÁCARA DE ARAGÃO,2550,VILA PARIS
3295,3502507,ALAMEDA DE FARIAS,3155,VILA AEROPORTO
3296,3502606,LARGO MARIA LUIZA CARVALHO,392,PIRINEUS
3297,3502705,ÁREA DA PAZ,4474,SOLIMOES
3298,3502754,LADEIRA DE DA PAZ,4022,SENHOR DOS PASSOS
3299,3502804,COLÔNIA FRANCISCO MOURA,4839,VILA MADRE GERTRUDES 4ª SEÇÃO
3300,3502903,PASSARELA JOÃO GABRIEL PORTO,4372,SANTA CECILIA
3301,3503000,PARQUE LIMA,3459,MARIQUINHAS
3302,3503109,MORRO FERNANDES,3451,SÃO PAULO
3303,3503158,DISTRITO DA CONCEIÇÃO,2669,ESTRELA DO ORIENTE
3304,3503208,CAMPO MARIA SOPHIA GONÇALVES,3283,VILA BATIK
3305,3503307,DISTRITO FERREIRA,1381,JARDINÓPOLIS
3306,3503356,VALE MONTEIRO,513,SÃO BENEDITO
3307,3503406,PRAIA MIRELLA AZEVEDO,3846,CRUZEIRO
3308,3503505,VILA ANA SOPHIA CAMPOS,4222,BURACO QUENTE
3309,3503604,PRAIA MAITÊ DIAS,2431,SÃO CRISTÓVÃO
3310,3503703,DISTRITO DE PEIXOTO,788,MONTE AZUL
3311,3503802,LAGOA DE JESUS,2145,NOVA VISTA
3312,3503901,PRAIA PORTO,1519,VILA IPIRANGA
3313,3503950,CONDOMÍNIO ALMEIDA,1778,SÃO LUCAS
3314,3504008,CHÁCARA DE CORREIA,1137,LAGOINHA LEBLON
3315,3504107,VEREDA VIEIRA,3355,MILIONARIO
3316,3504206,PRAÇA DE ROCHA,1852,MARIQUINHAS
3317,3504305,ÁREA DE CAVALCANTI,1273,VILA NOSSA SENHORA DO ROSÁRIO
3318,3504404,QUADRA DE GONÇALVES,2163,TEIXEIRA DIAS
3319,3504503,PASSARELA CARDOSO,2851,FAZENDINHA
3320,3504602,QUADRA DE COSTELA,1226,FUNCIONÁRIOS
3321,3504701,VIA DE CARDOSO,4797,JARDIM AMÉRICA
3322,3504800,LARGO MARTINS,129,SAGRADA FAMÍLIA
3323,3504909,MORRO DE VIEIRA,3366,NOSSA SENHORA DE FÁTIMA
3324,3505005,JARDIM DE MORAES,2113,PANTANAL
3325,3505104,ESTAÇÃO DE GOMES,4427,VILA NOVA CACHOEIRINHA 1ª SEÇÃO
3326,3505203,DISTRITO LIMA,2444,VILA RICA
3327,3505302,CONDOMÍNIO PEDRO HENRIQUE MENDES,1620,SANTO ANDRÉ
3328,3505351,PASSARELA DE DA COSTA,383,LIBERDADE
3329,3505401,ESTAÇÃO DE DA CRUZ,519,LAGOA
3330,3505500,ESPLANADA VALENTINA MONTEIRO,2425,VILA SÃO DIMAS
3331,3505609,RODOVIA CARDOSO,17,VILA SÃO FRANCISCO
3332,3505708,ESPLANADA RIBEIRO,349,VILA SÃO FRANCISCO
3333,3505807,PRAIA DE DA MATA,3877,FREI LEOPOLDO
3334,3505906,VIELA MIGUEL AZEVEDO,1943,LAJEDO
3335,3506003,PARQUE DE CALDEIRA,4113,VILA MADRE GERTRUDES 4ª SEÇÃO
3336,3506102,SÍTIO CAVALCANTI,2079,CONJUNTO SANTA MARIA
3337,3506201,VILA CARDOSO,2724,ARAGUAIA
3338,3506300,CAMPO MARTINS,628,CANAA
3339,3506359,ESTRADA PIRES,1372,CONJUNTO CAPITÃO EDUARDO
3340,3506409,AVENIDA PEIXOTO,4435,LAGOA
3341,3506508,ESTRADA SILVA,2101,CAETANO FURQUIM
3342,3506607,SÍTIO RAMOS,3222,CONJUNTO JARDIM FILADÉLFIA
3343,3506706,FAVELA PEDRO LUCAS PIRES,1316,JATOBÁ
3344,3506805,FEIRA DE PEIXOTO,3632,SÃO FRANCISCO DAS CHAGAS
3345,3506904,SÍTIO DE CALDEIRA,1068,NOVO TUPI
3346,3507001,LAGO NOGUEIRA,599,JOÃO PAULO II
3347,3507100,VALE DE PEIXOTO,3620,LAGOA
3348,3507159,PRAIA DE MELO,4713,GROTINHA
3349,3507209,RUA DE SILVEIRA,3883,NOVO SANTA CECILIA
3350,3507308,VILA DE SALES,907,NOSSA SENHORA DO ROSÁRIO
3351,3507407,FAVELA LUCAS FREITAS,3431,JOÃO ALFREDO
3352,3507456,LOTEAMENTO PORTO,2695,SANTA INÊS
3353,3507506,CONDOMÍNIO BRYAN MOURA,2046,GAMELEIRA
3354,3507605,TRECHO DE DA MATA,35,ERNESTO NASCIMENTO
3355,3507704,JARDIM DA CRUZ,2283,JARDIM DOS COMERCIARIOS
3356,3507753,SETOR MARIA LUIZA SILVEIRA,4231,VILA CANTO DO SABIÁ
3357,3507803,PRAÇA RODRIGO NUNES,4238,TUPI B
3358,3507902,FAZENDA MARIA VITÓRIA NOVAES,3584,TUPI A
3359,3508009,RUA YASMIN GOMES,4970,SALGADO FILHO
3360,3508108,LARGO LEANDRO COSTELA,2109,BARREIRO
3361,3508207,NÚCLEO MAYSA DAS NEVES,4374,INDEPENDÊNCIA
3362,3508306,SÍTIO MAITÊ SILVEIRA,4045,VILA TRINTA E UM DE MARÇO
3363,3508405,LOTEAMENTO CALDEIRA,1294,PEDREIRA PADRO LOPES
3364,3508504,VIELA FARIAS,2183,CASTANHEIRA
3365,3508603,TREVO CASTRO,766,CINQUENTENÁRIO
3366,3508702,NÚCLEO GONÇALVES,4100,JARDIM SÃO JOSÉ
3367,3508801,PRAIA CARVALHO,3208,VILA NOVA
3368,3508900,PASSARELA DE MENDES,1144,SANTA SOFIA
3369,3509007,SETOR NUNES,2699,JARDIM SÃO JOSÉ
3370,3509106,RECANTO DE ARAGÃO,3266,VILA VISTA ALEGRE
3371,3509205,CONJUNTO CORREIA,2266,VILA PIRATININGA VENDA NOVA
3372,3509254,VILA DE CUNHA,4959,VILA NOVA
3373,3509304,TRAVESSA LARISSA MARTINS,1532,OLARIA
3374,3509403,VALE DE NUNES,638,VILA SANTO ANTÔNIO BARROQUINHA
3375,3509452,FAVELA CARVALHO,3801,POMPÉIA
3376,3509502,VEREDA DE TEIXEIRA,881,EMBAÚBAS
3377,3509601,ESTAÇÃO GUSTAVO DA LUZ,3462,JULIANA
3378,3509700,FAVELA GUSTAVO HENRIQUE NOVAES,4525,NOVA GRANADA
3379,3509809,AVENIDA LÍVIA DUARTE,3459,CABANA DO PAI TOMÁS
3380,3509908,AVENIDA ALEXANDRE COSTA,4559,SANTO ANTÔNIO
3381,3509957,CONJUNTO JESUS,4698,VILA FORMOSA
3382,3510005,TRECHO JOAQUIM ALVES,3065,SANTANA DO CAFEZAL
3383,3510104,RECANTO DE MOURA,1655,VILA HAVAÍ
3384,3510153,COLÔNIA LEANDRO CARVALHO,1205,VILA DE SÁ
3385,3510203,RUA DE DA COSTA,3340,PALMARES
3386,3510302,CONDOMÍNIO ANA CLARA PIRES,4029,VILA DE SÁ
3387,3510401,VIADUTO SARAH CASTRO,3069,MARIQUINHAS
3388,3510500,RUA BARROS,690,SOLIMOES
3389,3510609,TRECHO VIANA,3085,VILA ANTENA
3390,3510708,VEREDA VALENTINA GONÇALVES,118,BERNADETE
3391,3510807,MORRO DA CUNHA,4194,CONJUNTO JARDIM FILADÉLFIA
3392,3510906,PRAIA COSTELA,4686,CONJUNTO JARDIM FILADÉLFIA
3393,3511003,RODOVIA REZENDE,4500,PARAÍSO
3394,3511102,CHÁCARA DE MELO,4054,CANAA
3395,3511201,MORRO MOURA,4750,LOURDES
3396,3511300,SÍTIO RODRIGUES,1132,MARMITEIROS
3397,3511409,VEREDA DA ROCHA,1739,CRUZEIRO
3398,3511508,VIA DAS NEVES,1048,BARÃO HOMEM DE MELO 3ª SEÇÃO
3399,3511607,VIELA KAMILLY CARDOSO,2277,SANTA RITA
3400,3511706,SÍTIO THIAGO RIBEIRO,2250,JARDIM FELICIDADE
3401,3511904,ESTRADA NASCIMENTO,663,MANGABEIRAS
3402,3512001,JARDIM DE PEIXOTO,2510,VENDA NOVA
3403,3512100,TRECHO TEIXEIRA,4984,SÃO JOÃO
3404,3512209,TREVO BARBOSA,3306,VILA NOVA GAMELEIRA 2ª SEÇÃO
3405,3512308,PASSARELA VIANA,1495,SÃO BENTO
3406,3512407,LAGO LUCCA DA COSTA,326,GRAÇA
3407,3512506,QUADRA MARIA ALICE RODRIGUES,1996,CHÁCARA LEONINA
3408,3512605,NÚCLEO RAMOS,3583,VILA BETÂNIA
3409,3512704,RECANTO SILVEIRA,3332,SANTA EFIGÊNIA
3410,3512803,CONJUNTO FREITAS,98,ACAIACA
3411,3512902,COLÔNIA FREITAS,4397,PINDURA SAIA
3412,3513009,MORRO LUIZ MIGUEL MONTEIRO,1499,SILVEIRA
3413,3513108,VIELA ANA JÚLIA GOMES,4545,GUARATÃ
3414,3513207,RODOVIA DE DAS NEVES,467,VISTA ALEGRE
3415,3513306,AVENIDA CAVALCANTI,1496,VILA ESPLANADA
3416,3513405,VIADUTO DA ROSA,3756,CIDADE JARDIM TAQUARIL
3417,3513504,DISTRITO DE SILVEIRA,1301,MIRTES
3418,3513603,AEROPORTO SABRINA SILVA,2427,ARAGUAIA
3419,3513702,VIADUTO DE ALMEIDA,4048,SANTA CRUZ
3420,3513801,LAGO DE NASCIMENTO,200,CONFISCO
3421,3513850,ESTRADA DE DAS NEVES,2644,ESPLANADA
3422,3513900,FEIRA AZEVEDO,4571,JARDIM GUANABARA
3423,3514007,TRAVESSA MOREIRA,3784,SERRA
3424,3514106,FEIRA REZENDE,2859,CONJUNTO SANTA MARIA
3425,3514205,FAVELA CAUÃ REZENDE,3520,PINDURA SAIA
3426,3514304,VALE JOÃO FELIPE FREITAS,3367,NOVO SANTA CECILIA
3427,3514403,FEIRA FERREIRA,4808,TIRADENTES
3428,3514502,AVENIDA CUNHA,2994,SÃO PEDRO
3429,3514601,RODOVIA LUNA FERREIRA,2915,CAMPONESA 1ª SEÇÃO
3430,3514700,LOTEAMENTO SILVA,3999,BARÃO HOMEM DE MELO 1ª SEÇÃO
3431,3514809,LARGO STELLA CAMPOS,1068,CONJUNTO CAPITÃO EDUARDO
3432,3514908,TRAVESSA MARCELA DA COSTA,2452,HAVAÍ
3433,3514924,TRAVESSA DUARTE,3261,HORTO FLORESTAL
3434,3514957,LAGO NUNES,2212,VILA NOVA DOS MILIONARIOS
3435,3515004,ESPLANADA DE COSTELA,910,VILA COPACABANA
3436,3515103,ESPLANADA CASTRO,4451,CINQUENTENÁRIO
3437,3515129,COLÔNIA ALEXIA TEIXEIRA,409,VILA BETÂNIA
3438,3515152,ESPLANADA COSTA,2092,VALE DO JATOBA
3439,3515186,AEROPORTO LIMA,4609,POUSADA SANTO ANTONIO
3440,3515194,MORRO FOGAÇA,3914,JARDIM ALVORADA
3441,3515202,ESTAÇÃO DE FOGAÇA,2757,VILA MANGUEIRAS
3442,3515301,MORRO ANA CAROLINA CUNHA,3117,NOVA ESPERANÇA
3443,3515350,JARDIM ANA SOPHIA SALES,4509,SÃO JORGE 3ª SEÇÃO
3444,3515400,AEROPORTO LUIZ OTÁVIO PIRES,4689,ITAIPU
3445,3515509,FEIRA BARROS,4698,VILA CEMIG
3446,3515608,NÚCLEO FERREIRA,3339,PEDREIRA PADRO LOPES
3447,3515657,AEROPORTO DANIELA TEIXEIRA,1247,MARIETA 2ª SEÇÃO
3448,3515707,ESTRADA IGOR FREITAS,2798,VILA OLHOS D'ÁGUA
3449,3515806,RESIDENCIAL PEDRO HENRIQUE FREITAS,3838,CORAÇÃO EUCARÍSTICO
3450,3515905,ALAMEDA AMANDA FERNANDES,1847,VILA ECOLÓGICA
3451,3516002,ESPLANADA BERNARDO COSTELA,2958,CAIÇARAS
3452,3516101,LAGO DA ROSA,3950,ANTONIO RIBEIRO DE ABREU 1ª SEÇÃO
3453,3516200,RESIDENCIAL BARBOSA,4997,VILA BANDEIRANTES
3454,3516309,QUADRA MARIA CECÍLIA NUNES,3648,MIRTES
3455,3516408,FAZENDA CUNHA,557,CASTELO
3456,3516507,RODOVIA DE LIMA,3513,VILA SANTA MONICA 1ª SEÇÃO
3457,3516606,TRAVESSA DE GONÇALVES,6,SANTA ROSA
3458,3516705,QUADRA FRANCISCO MARTINS,2180,CONJUNTO LAGOA
3459,3516804,ESTRADA DE BARBOSA,2052,LUXEMBURGO
3460,3516853,TRECHO DE MENDES,1706,SÃO GONÇALO
3461,3516903,CONDOMÍNIO OLIVEIRA,1532,VILA COPACABANA
3462,3517000,FAVELA PINTO,4489,JARDIM ATLÂNTICO
3463,3517109,PRAÇA DE ARAGÃO,1938,MADRE GERTRUDES
3464,3517208,FAVELA NOGUEIRA,4251,SÃO BENTO
3465,3517307,VILA DA CRUZ,1243,NOVO OURO PRETO
3466,3517406,RUA CARDOSO,1542,MORRO DOS MACACOS
3467,3517505,VIELA PIRES,2011,VILA SÃO RAFAEL
3468,3517604,COLÔNIA ARAGÃO,4619,OURO PRETO
3469,3517703,MORRO DE FARIAS,2367,JONAS VEIGA
3470,3517802,QUADRA DE PIRES,945,CÔNEGO PINHEIRO 1ª SEÇÃO
3471,3517901,PRAIA DE DA MATA,2544,VILA MADRE GERTRUDES 3ª SEÇÃO
3472,3518008,VIA DE SALES,3845,AMBROSINA
3473,3518107,JARDIM NOVAES,3771,JOÃO ALFREDO
3474,3518206,ESTAÇÃO DE MORAES,1439,CONJUNTO BONSUCESSO
3475,3518305,PARQUE CAUÃ COSTA,4361,ZILAH SPOSITO
3476,3518404,AEROPORTO PAULO LOPES,3073,SANTO ANDRÉ
3477,3518503,QUADRA ESTHER PORTO,1541,LORENA
3478,3518602,FAVELA FREITAS,672,AGUAS CLARAS
3479,3518701,FEIRA DE DA ROSA,194,VILA BETÂNIA
3480,3518800,NÚCLEO DE SILVEIRA,39,VILA HAVAÍ
3481,3518859,FAVELA VIANA,4263,DISTRITO INDUSTRIAL DO JATOBA
3482,3518909,LOTEAMENTO NUNES,3325,PADRE EUSTÁQUIO
3483,3519006,ALAMEDA DA MATA,3466,VITORIA DA CONQUISTA
3484,3519055,PASSARELA JOÃO LUCAS CASTRO,1473,SANTA RITA
3485,3519071,TRECHO BARROS,1555,MILIONARIO
3486,3519105,QUADRA FARIAS,3886,CONJUNTO SANTA MARIA
3487,3519204,MORRO ANA LÍVIA OLIVEIRA,2601,BARÃO HOMEM DE MELO 3ª SEÇÃO
3488,3519253,PASSARELA DE SILVA,4268,SANTA HELENA
3489,3519303,FAZENDA YASMIN CAVALCANTI,4717,BARROCA
3490,3519402,TREVO DA CONCEIÇÃO,3089,VILA AEROPORTO
3491,3519501,RECANTO DE VIEIRA,2570,JARDIM DOS COMERCIARIOS
3492,3519600,ALAMEDA VICENTE NOGUEIRA,679,INCONFIDÊNCIA
3493,3519709,FAVELA DUARTE,1737,OLARIA
3494,3519808,CONDOMÍNIO DE COSTELA,694,PALMEIRAS
3495,3519907,VALE MARIA LUIZA NASCIMENTO,2834,VILA NOVA GAMELEIRA 1ª SEÇÃO
3496,3520004,ÁREA MARIANE FOGAÇA,1274,CARDOSO
3497,3520103,QUADRA DE ARAÚJO,3236,SÃO MARCOS
3498,3520202,FEIRA CAROLINA PORTO,4023,SÃO BERNARDO
3499,3520301,ESTRADA MARIA ALICE JESUS,1950,SÃO GONÇALO
3500,3520400,PARQUE DE DA CONCEIÇÃO,843,VILA AEROPORTO
3501,3520426,COLÔNIA MARIA ALICE CAMPOS,770,VILA MADRE GERTRUDES 1ª SEÇÃO
3502,3520442,VEREDA DE LOPES,920,LAGOA
3503,3520509,DISTRITO GOMES,2934,CONCÓRDIA
3504,3520608,CAMPO GUSTAVO ARAÚJO,2866,CONJUNTO JARDIM FILADÉLFIA
3505,3520707,VIA DE GONÇALVES,3168,VILA ENGENHO NOGUEIRA
3506,3520806,RESIDENCIAL NOVAES,1719,CORAÇÃO DE JESUS
3507,3520905,VIA DE MENDES,4802,ALPES
3508,3521002,DISTRITO DE JESUS,4686,CAPITÃO EDUARDO
3509,3521101,ALAMEDA CASTRO,1535,BACURAU
3510,3521150,ESTAÇÃO DE DA CONCEIÇÃO,2200,LARANJEIRAS
3511,3521200,AEROPORTO DA CUNHA,2706,MALA E CUIA
3512,3521309,VILA DE JESUS,2211,SÃO PEDRO
3513,3521408,DISTRITO MARCELA DA COSTA,4677,SÃO SEBASTIÃO
3514,3521507,PÁTIO LUIGI CUNHA,405,SANTA BRANCA
3515,3521606,PASSARELA MANUELA RIBEIRO,1909,VILA DOS ANJOS
3516,3521705,LAGOA DE RIBEIRO,2822,LORENA
3517,3521804,ESPLANADA MARINA CORREIA,2062,DONA CLARA
3518,3521903,TRAVESSA EMILLY DA PAZ,2517,SÃO TOMAZ
3519,3522000,VIELA ALMEIDA,1878,LUXEMBURGO
3520,3522109,PARQUE DA MOTA,3345,SANTA TEREZINHA
3521,3522158,SETOR CUNHA,2093,ETELVINA CARNEIRO
3522,3522208,PÁTIO PIETRO MOURA,2886,SÃO LUIZ
3523,3522307,PRAÇA VALENTINA SALES,2154,BURITIS
3524,3522406,RECANTO ESTHER MORAES,1489,SANTA AMELIA
3525,3522505,AEROPORTO EMILLY MORAES,3307,CANAA
3526,3522604,LADEIRA SALES,2356,MARIA HELENA
3527,3522653,PRAIA DA MOTA,4386,SAUDADE
3528,3522703,VIADUTO DA MOTA,3008,SÃO MARCOS
3529,3522802,AEROPORTO DE VIANA,635,PALMEIRAS
3530,3522901,FEIRA LUANA MOREIRA,949,PALMEIRAS
3531,3523008,ALAMEDA DE LIMA,3889,GUARANI
3532,3523107,CONJUNTO MOURA,3438,MARIA HELENA
3533,3523206,RECANTO ELISA NASCIMENTO,1546,VILA NOVA CACHOEIRINHA 3ª SEÇÃO
3534,3523305,LADEIRA ENZO GABRIEL TEIXEIRA,255,JARDIM DOS COMERCIARIOS
3535,3523404,FAZENDA JOÃO GABRIEL RIBEIRO,521,ESTRELA
3536,3523503,SETOR DE CARDOSO,1478,CALAFATE
3537,3523602,LARGO AMANDA FOGAÇA,4230,SÃO DAMIÃO
3538,3523701,MORRO LARISSA DAS NEVES,746,ESTORIL
3539,3523800,VIA DE CARDOSO,3315,OUTRO
3540,3523909,PÁTIO DE VIEIRA,2968,MONTE SÃO JOSÉ
3541,3524006,RUA RIBEIRO,4820,MORRO DOS MACACOS
3542,3524105,PRAIA EMILLY FERNANDES,3302,JARDIM FELICIDADE
3543,3524204,VILA DE DA PAZ,1280,VILA TRINTA E UM DE MARÇO
3544,3524303,AEROPORTO DE PINTO,683,ACABA MUNDO
3545,3524402,LAGOA ALÍCIA VIANA,2664,ITAPOA
3546,3524501,CAMPO ANTHONY COSTELA,2870,ÁLVARO CAMARGOS
3547,3524600,PARQUE SILVA,2543,VILA ANTENA
3548,3524709,VEREDA RIBEIRO,470,MARIANO DE ABREU
3549,3524808,TRAVESSA DE DA ROSA,3362,INDAIÁ
3550,3524907,LAGOA DE CARDOSO,3384,VILA REAL 2ª SEÇÃO
3551,3525003,LAGO DE RIBEIRO,4951,TREVO
3552,3525102,NÚCLEO DE ARAGÃO,1524,CASTANHEIRA
3553,3525201,VILA BEATRIZ CASTRO,4181,CONJUNTO PAULO VI
3554,3525300,PRAÇA PEIXOTO,1164,SÃO CRISTÓVÃO
3555,3525409,LAGOA MARCELO DA ROSA,135,BAIRRO DAS INDÚSTRIAS II
3556,3525508,PASSARELA DE MOURA,3421,JOÃO PAULO II
