cd_sinistro,placa,dt_sinistro,local_sinistro,condutor
2748,"UWV7819   ",2025-06-04 00:00:00.000,3503901,LEANDRO
2749,"LRE1998   ",2024-09-07 00:00:00.000,2911303,GUILHERME
2750,"SIB9935   ",2023-06-02 00:00:00.000,1704600,VINICIUS
2751,"FHK9422   ",2025-10-31 00:00:00.000,3304524,ANA
2752,"YOB9799   ",2026-02-19 00:00:00.000,2702504,LUCCA
2753,"DGI9261   ",2025-02-09 00:00:00.000,3506102,CAROLINE
2754,"TIK2710   ",2026-12-23 00:00:00.000,2200608,HENRIQUE
2755,"QMX0056   ",2026-01-22 00:00:00.000,2921104,LEVI
2756,"GGZ8806   ",2024-02-10 00:00:00.000,2302602,LUIGI
2757,"EEL3078   ",2025-11-16 00:00:00.000,2112605,RAFAEL
2758,"HEM1668   ",2023-11-21 00:00:00.000,4202073,AUGUSTO
2759,"VLY6031   ",2024-09-10 00:00:00.000,1507201,SAMUEL
2760,"WDO2332   ",2025-01-05 00:00:00.000,2516755,CAUÊ
2761,"JJF2505   ",2026-07-16 00:00:00.000,4302105,VALENTINA
2762,"LVJ7436   ",2024-06-03 00:00:00.000,3132602,DANILO
2763,"EYM7681   ",2024-10-30 00:00:00.000,2208858,KAMILLY
2764,"BQD1667   ",2023-08-16 00:00:00.000,2207603,GUILHERME
2765,"JJT0632   ",2024-08-15 00:00:00.000,4315750,LARA
2766,"ABF2305   ",2026-02-01 00:00:00.000,1302405,GABRIELLY
2767,"KRG2067   ",2024-06-06 00:00:00.000,3540002,RENAN
2768,"KEC0324   ",2026-01-21 00:00:00.000,2403103,STELLA
2769,"QKE3076   ",2025-01-21 00:00:00.000,3146909,GABRIELLY
2770,"QEY3507   ",2024-01-16 00:00:00.000,4309571,LORENZO
2771,"CYH6357   ",2023-05-30 00:00:00.000,3547650,HELOÍSA
2772,"XVI2445   ",2024-02-01 00:00:00.000,4202602,BRUNO
2773,"RHK8036   ",2024-12-04 00:00:00.000,3541505,ISABEL
2774,"JQB0965   ",2023-11-09 00:00:00.000,3162708,LUIZ
2775,"NOR1206   ",2023-03-27 00:00:00.000,4320800,PEDRO
2776,"UWA5423   ",2024-01-13 00:00:00.000,3125101,HENRIQUE
2777,"YSA2023   ",2024-11-12 00:00:00.000,3529302,MARCELA
2778,"FLG4391   ",2025-04-19 00:00:00.000,4306551,AMANDA
2779,"WXX7906   ",2025-06-06 00:00:00.000,5102686,JOÃO
2780,"KAF7206   ",2023-08-13 00:00:00.000,2312304,HELENA
2781,"XGU5023   ",2023-08-26 00:00:00.000,3157500,SAMUEL
2782,"CBX4363   ",2025-05-01 00:00:00.000,3514700,EVELYN
2783,"NOZ4488   ",2026-01-27 00:00:00.000,3103009,IGOR
2784,"QJK5576   ",2023-12-20 00:00:00.000,1704105,ALEXANDRE
2785,"CLY9138   ",2023-06-15 00:00:00.000,2800209,DAVI
2786,"RAC3417   ",2026-05-12 00:00:00.000,4321493,LUCAS
2787,"BPT6717   ",2025-04-12 00:00:00.000,2916302,ANA
2788,"DPY3093   ",2025-10-16 00:00:00.000,1501253,LUIZ
2789,"DMQ4344   ",2023-06-26 00:00:00.000,3536604,LARISSA
2790,"SVP4903   ",2023-07-21 00:00:00.000,2209906,RYAN
2791,"ACR4813   ",2025-07-07 00:00:00.000,2109304,LUIZ
2792,"IKL9711   ",2025-06-10 00:00:00.000,3555604,VICENTE
2793,"LAZ0401   ",2024-10-13 00:00:00.000,3129004,MARINA
2794,"TJH2560   ",2024-01-31 00:00:00.000,3537404,VALENTINA
2795,"NJG2493   ",2024-06-15 00:00:00.000,3517901,EVELYN
2796,"XXU4126   ",2025-11-30 00:00:00.000,4101309,CLARICE
2797,"QDL6883   ",2025-09-21 00:00:00.000,4319208,CAROLINA
2798,"XSK2278   ",2023-07-28 00:00:00.000,4321436,DAVI
2799,"FHF0546   ",2025-08-06 00:00:00.000,1505502,EMANUELLY
2800,"GCH8209   ",2024-07-10 00:00:00.000,2102754,MATHEUS
2801,"AFT7091   ",2024-05-14 00:00:00.000,2107357,JÚLIA
2802,"ZQJ0641   ",2024-03-28 00:00:00.000,3170800,GUSTAVO
2803,"WHF3305   ",2026-09-30 00:00:00.000,4106001,ALÍCIA
2804,"WBX3910   ",2025-09-27 00:00:00.000,5221700,ANA
2805,"KRR0718   ",2025-05-04 00:00:00.000,2204402,SAMUEL
2806,"QDX0110   ",2023-04-11 00:00:00.000,2506004,DAVI
2807,"QNR4589   ",2024-12-28 00:00:00.000,2927200,LUANA
2808,"FHZ8116   ",2025-08-12 00:00:00.000,4207106,LUIZ
2809,"TEU1245   ",2024-09-15 00:00:00.000,2902302,DAVI
2810,"ACN4400   ",2025-11-07 00:00:00.000,4302154,JOÃO
2811,"HLV7386   ",2023-05-19 00:00:00.000,4124707,ANA
2812,"WXU9540   ",2024-06-14 00:00:00.000,3161106,LUIGI
2813,"CFJ6315   ",2025-10-31 00:00:00.000,3505807,VITOR
2814,"PIN3209   ",2023-08-17 00:00:00.000,5202809,GIOVANNA
2815,"TQJ5045   ",2024-10-17 00:00:00.000,2911907,YURI
2816,"DYI5508   ",2023-03-31 00:00:00.000,2400505,ISABELLA
2817,"IGE2101   ",2024-12-04 00:00:00.000,4318002,CAUÃ
2818,"ISX5176   ",2025-11-22 00:00:00.000,3116704,LAVÍNIA
2819,"IQK5965   ",2024-05-23 00:00:00.000,1504604,ANA
2820,"KAY4431   ",2023-05-18 00:00:00.000,3106200,ANTÔNIO
2821,"GEK6897   ",2023-11-28 00:00:00.000,4103057,VITOR
2822,"IPJ5703   ",2025-04-27 00:00:00.000,3155603,MARIA
2823,"AKJ6741   ",2023-12-28 00:00:00.000,3140209,NICOLAS
2824,"CPX9774   ",2023-11-16 00:00:00.000,3155009,DAVI
2825,"ZEM3418   ",2025-04-22 00:00:00.000,1718659,THOMAS
2826,"NMH4178   ",2024-03-08 00:00:00.000,1707652,VICENTE
2827,"XTD4418   ",2026-03-18 00:00:00.000,2921005,VITOR
2828,"PKN9443   ",2024-08-08 00:00:00.000,2924504,ALEXANDRE
2829,"PMV1257   ",2025-10-06 00:00:00.000,3502309,JULIA
2830,"IQY0938   ",2023-06-30 00:00:00.000,2701902,LAURA
2831,"TBN9637   ",2025-02-27 00:00:00.000,3118601,BRENO
2832,"BZL7388   ",2024-10-16 00:00:00.000,3530607,LÍVIA
2833,"BEH4835   ",2025-10-03 00:00:00.000,3301702,MIGUEL
2834,"YOK8488   ",2025-03-30 00:00:00.000,3541307,ALÍCIA
2835,"LPS2763   ",2026-05-19 00:00:00.000,3168903,ISABEL
2836,"BBL9162   ",2026-09-05 00:00:00.000,3143005,PEDRO
2837,"FTS0459   ",2025-04-28 00:00:00.000,4320503,JULIANA
2838,"AQR9813   ",2023-05-03 00:00:00.000,3553203,MARIA
2839,"ZFD0818   ",2024-10-14 00:00:00.000,5218607,MARCOS
2840,"CLA3196   ",2025-08-08 00:00:00.000,4103057,MELISSA
2841,"UCL0099   ",2023-03-29 00:00:00.000,1500859,LUCAS
2842,"HHB9302   ",2025-07-09 00:00:00.000,2802601,BRUNO
2843,"PQU7494   ",2025-10-23 00:00:00.000,2910701,JULIANA
2844,"JCS6057   ",2026-06-01 00:00:00.000,2918605,RAQUEL
2845,"GYO5953   ",2023-03-17 00:00:00.000,3162575,BENJAMIN
2846,"CTN0900   ",2025-10-26 00:00:00.000,4218400,MARIA
2847,"PJT2271   ",2023-09-13 00:00:00.000,4309605,ALÍCIA
2848,"PFO3612   ",2025-11-09 00:00:00.000,4102505,BRUNA
2849,"XMY4660   ",2025-04-17 00:00:00.000,5216908,CAIO
2850,"AIX4164   ",2023-08-10 00:00:00.000,1705557,ALEXIA
2851,"XMW8121   ",2026-10-21 00:00:00.000,3202603,DAVI
2852,"YSQ8881   ",2024-10-05 00:00:00.000,3141603,THEO
2853,"OAG7100   ",2025-04-19 00:00:00.000,4302451,HEITOR
2854,"NHN2148   ",2026-10-20 00:00:00.000,3301009,JOÃO
2855,"RGG9392   ",2025-04-02 00:00:00.000,2101707,MARCOS
2856,"THA4227   ",2026-03-02 00:00:00.000,3553658,PEDRO
2857,"SQA2993   ",2024-07-23 00:00:00.000,3134806,LÍVIA
2858,"PUR5504   ",2026-08-04 00:00:00.000,2927804,MARIA
2859,"RGJ8868   ",2026-11-30 00:00:00.000,5000856,MARIA
2860,"GJY4886   ",2023-11-01 00:00:00.000,3150208,VITOR
2861,"ZGD2864   ",2024-03-22 00:00:00.000,2412302,MARIA
2862,"SKR3808   ",2026-07-15 00:00:00.000,3542305,RYAN
2863,"PNN4427   ",2025-08-24 00:00:00.000,2614402,GUSTAVO
2864,"VCG2945   ",2026-09-04 00:00:00.000,4300877,MARIA
2865,"BAX1218   ",2023-08-11 00:00:00.000,2914406,CATARINA
2866,"IUS2931   ",2026-10-17 00:00:00.000,5006358,JOAQUIM
2867,"ZCG6794   ",2023-11-11 00:00:00.000,3166907,LUIGI
2868,"HLP9313   ",2025-05-20 00:00:00.000,2805505,LORENZO
2869,"GWV9588   ",2026-12-02 00:00:00.000,4300307,ANTÔNIO
2870,"SOQ6093   ",2023-11-08 00:00:00.000,4216107,DAVI
2871,"YHN6850   ",2023-09-14 00:00:00.000,2209609,GABRIELLY
2872,"CJS1121   ",2026-11-02 00:00:00.000,3203007,ANA
2873,"NHC4957   ",2025-09-24 00:00:00.000,2210383,ERICK
2874,"LBU9147   ",2025-12-09 00:00:00.000,2404200,HENRIQUE
2875,"YEG6353   ",2024-10-12 00:00:00.000,3127305,MARIA
2876,"UIJ3259   ",2023-08-06 00:00:00.000,3131406,NATHAN
2877,"TGB7701   ",2023-06-27 00:00:00.000,5207535,MARIA
2878,"QWH9708   ",2025-01-19 00:00:00.000,3115300,LUCCA
2879,"XZH6830   ",2023-10-15 00:00:00.000,2210979,CLARA
2880,"JYL8550   ",2026-09-08 00:00:00.000,3144409,MIGUEL
2881,"PTA7066   ",2024-08-07 00:00:00.000,5219357,ENZO
2882,"QSC5305   ",2025-08-04 00:00:00.000,2513984,LUCAS
2883,"UQA4150   ",2025-07-15 00:00:00.000,2309607,MAITÊ
2884,"NPR1753   ",2026-09-18 00:00:00.000,2604007,LORENZO
2885,"WSY1318   ",2024-07-11 00:00:00.000,4114401,LORENZO
2886,"SQB6764   ",2024-08-05 00:00:00.000,2608057,VINICIUS
2887,"MNY9685   ",2023-07-25 00:00:00.000,1506351,FELIPE
2888,"KTT0861   ",2026-06-21 00:00:00.000,2209559,CAROLINE
2889,"QYO1086   ",2025-08-20 00:00:00.000,3128907,ALEXIA
2890,"PTM9739   ",2026-09-05 00:00:00.000,2930709,CECÍLIA
2891,"UDD0186   ",2023-04-05 00:00:00.000,5106273,JOÃO
2892,"KXF1472   ",2026-01-09 00:00:00.000,3116159,ANA
2893,"DCK7287   ",2025-03-08 00:00:00.000,2504108,ALEXIA
2894,"BMP7315   ",2025-05-12 00:00:00.000,2203008,JOÃO
2895,"DVM5993   ",2025-02-01 00:00:00.000,3524204,CAUÃ
2896,"XDO4890   ",2023-03-21 00:00:00.000,2928059,MAYSA
2897,"EYW9856   ",2025-10-12 00:00:00.000,1200385,LORENZO
2898,"MAY7448   ",2024-05-10 00:00:00.000,2412401,SOFIA
2899,"GDE6026   ",2023-12-08 00:00:00.000,2413805,GUSTAVO
2900,"CUH4223   ",2024-07-22 00:00:00.000,4313805,RAFAEL
2901,"FNC8696   ",2026-02-21 00:00:00.000,5101308,NICOLE
2902,"IKO8706   ",2024-07-31 00:00:00.000,3303708,HELOÍSA
2903,"VBP4328   ",2025-04-04 00:00:00.000,1506609,RODRIGO
2904,"MMC6597   ",2023-11-15 00:00:00.000,3526308,RAQUEL
2905,"HEX0508   ",2026-07-01 00:00:00.000,2919108,SAMUEL
2906,"IUV3231   ",2024-02-19 00:00:00.000,1708254,LORENA
2907,"LGH6293   ",2026-09-28 00:00:00.000,2910503,MATHEUS
2908,"ZVZ9884   ",2023-04-08 00:00:00.000,5220686,BIANCA
2909,"IAW6148   ",2026-03-27 00:00:00.000,2610608,BRENO
2910,"DNM1369   ",2026-06-16 00:00:00.000,5200134,MARIA
2911,"IXD4408   ",2023-11-12 00:00:00.000,5206503,MARIA
2912,"DFG5363   ",2024-01-10 00:00:00.000,4302451,MURILO
2913,"HCU7896   ",2023-06-16 00:00:00.000,4313607,LORENZO
2914,"SBE0586   ",2025-09-10 00:00:00.000,3101003,CATARINA
2915,"YRP6246   ",2025-03-27 00:00:00.000,3508108,KAIQUE
2916,"MJA0403   ",2024-04-10 00:00:00.000,2107803,RAQUEL
2917,"XYO6916   ",2026-11-16 00:00:00.000,2913705,ANA
2918,"BZD3070   ",2025-04-26 00:00:00.000,2806206,MANUELA
2919,"QAK9511   ",2026-03-07 00:00:00.000,4307302,ANTÔNIO
2920,"HCR4455   ",2026-09-16 00:00:00.000,2109056,PEDRO
2921,"PMK2449   ",2025-10-02 00:00:00.000,4302220,EDUARDO
2922,"IAT1213   ",2026-09-28 00:00:00.000,3509809,MARIA
2923,"EGK1687   ",2025-11-04 00:00:00.000,5104500,CARLOS
2924,"LYV8789   ",2026-02-01 00:00:00.000,2503100,BRUNO
2925,"DLO8722   ",2026-02-07 00:00:00.000,1721109,GABRIELA
2926,"FUZ8275   ",2025-01-18 00:00:00.000,4115309,CAROLINE
2927,"DDP0133   ",2025-02-10 00:00:00.000,2932408,HELOÍSA
2928,"TYV9343   ",2023-08-02 00:00:00.000,2805307,DIEGO
2929,"BLB6473   ",2026-04-08 00:00:00.000,2610004,MATHEUS
2930,"SVD2866   ",2026-10-16 00:00:00.000,2405900,JOÃO
2931,"WQW3089   ",2024-02-27 00:00:00.000,3113701,MARCELA
2932,"KNL3621   ",2025-03-09 00:00:00.000,2923035,SAMUEL
2933,"NXY9313   ",2025-08-30 00:00:00.000,2202059,MARIA
2934,"BHH9523   ",2026-03-21 00:00:00.000,3534500,NINA
2935,"MGY2681   ",2023-05-29 00:00:00.000,3127305,PEDRO
2936,"FYN5385   ",2023-06-13 00:00:00.000,2302701,EMILLY
2937,"BUS9627   ",2024-04-27 00:00:00.000,2400208,RAQUEL
2938,"YWD1206   ",2025-11-19 00:00:00.000,2906204,KEVIN
2939,"OBA9697   ",2024-10-01 00:00:00.000,3158102,DAVI
2940,"RWO4268   ",2026-11-17 00:00:00.000,2412500,AGATHA
2941,"CSO4494   ",2025-07-15 00:00:00.000,5212956,LUCAS
2942,"ZJQ6647   ",2026-11-26 00:00:00.000,3514403,LUIZ
2943,"ZQY2674   ",2023-06-04 00:00:00.000,3162203,LARA
2944,"ESL4460   ",2026-12-18 00:00:00.000,3531001,MARCELA
2945,"VYY7717   ",2024-02-07 00:00:00.000,2924900,NICOLE
2946,"RGH0822   ",2023-06-10 00:00:00.000,4318903,YASMIN
2947,"WAQ2498   ",2024-06-22 00:00:00.000,1400308,FRANCISCO
2948,"YFN6359   ",2024-01-21 00:00:00.000,2411056,EDUARDA
2949,"XPF2084   ",2024-08-30 00:00:00.000,2405504,IAN
2950,"PEG4795   ",2026-03-17 00:00:00.000,3541406,MARCOS
2951,"FYZ1635   ",2023-05-18 00:00:00.000,4302709,MARIA
2952,"ZZR1465   ",2025-06-12 00:00:00.000,2604403,VALENTINA
2953,"JDS1797   ",2023-10-12 00:00:00.000,3152907,ISABEL
2954,"NRT8004   ",2026-03-27 00:00:00.000,3169901,AMANDA
2955,"QER6486   ",2023-11-21 00:00:00.000,1713957,MIGUEL
2956,"IBX6485   ",2026-03-26 00:00:00.000,2708006,JOÃO
2957,"CKI2978   ",2024-09-04 00:00:00.000,5214903,LEVI
2958,"XQC5729   ",2026-09-24 00:00:00.000,5003157,SOFIA
2959,"MTX3355   ",2024-08-30 00:00:00.000,2607703,ISAAC
2960,"XWW4657   ",2026-07-19 00:00:00.000,4317202,DANIEL
2961,"XHQ7897   ",2026-10-03 00:00:00.000,4313706,PIETRO
2962,"IKD1649   ",2023-11-06 00:00:00.000,2516409,MELISSA
2963,"CMQ3594   ",2025-05-02 00:00:00.000,3537206,DIOGO
2964,"NGA5161   ",2026-01-08 00:00:00.000,1703206,GABRIELLY
2965,"FIV1824   ",2026-09-29 00:00:00.000,3504602,MARIA
2966,"UOE5120   ",2024-10-31 00:00:00.000,5220603,NINA
2967,"YSE2747   ",2026-02-10 00:00:00.000,4317251,ENRICO
2968,"FUS9234   ",2026-12-29 00:00:00.000,2414159,CALEBE
2969,"XPD2838   ",2026-05-22 00:00:00.000,3121100,VICENTE
2970,"DMW6594   ",2026-08-06 00:00:00.000,4318424,GUILHERME
2971,"JCI6170   ",2023-08-22 00:00:00.000,4312203,FERNANDO
2972,"BCK3291   ",2024-11-05 00:00:00.000,3527306,NINA
2973,"CXZ9254   ",2026-04-07 00:00:00.000,3544103,OTÁVIO
2974,"QZG5293   ",2023-04-03 00:00:00.000,4322558,LORENZO
2975,"GOZ8612   ",2024-02-21 00:00:00.000,1300300,ISIS
2976,"FWA1267   ",2025-03-29 00:00:00.000,1100072,RODRIGO
2977,"RHH8357   ",2023-09-15 00:00:00.000,3502903,EMANUEL
2978,"HZU5077   ",2026-01-15 00:00:00.000,4107207,ANTÔNIO
2979,"JQM1433   ",2025-03-21 00:00:00.000,3167806,SARAH
2980,"KKL7377   ",2025-01-14 00:00:00.000,3150208,ANA
2981,"YNF0466   ",2023-05-16 00:00:00.000,3140159,LEANDRO
2982,"TCQ1053   ",2024-04-07 00:00:00.000,1502954,CAIO
2983,"PXF8118   ",2026-12-09 00:00:00.000,3543253,ENRICO
2984,"POC3065   ",2025-05-07 00:00:00.000,4307906,ELISA
2985,"PWA1317   ",2024-09-04 00:00:00.000,3529658,DAVI
2986,"CSQ6506   ",2025-07-06 00:00:00.000,2110401,LUANA
2987,"QLY8519   ",2025-06-04 00:00:00.000,2910503,THIAGO
2988,"YBO1139   ",2025-06-04 00:00:00.000,4206900,RAFAEL
2989,"FRU4066   ",2026-09-12 00:00:00.000,3511102,VITOR
2990,"BFQ6036   ",2026-10-23 00:00:00.000,3527900,DAVI
2991,"RSV8432   ",2026-07-21 00:00:00.000,2413201,AGATHA
2992,"UCD2541   ",2026-03-12 00:00:00.000,3522901,CARLOS
2993,"YDU8670   ",2025-02-09 00:00:00.000,4107652,NICOLE
2994,"EDM6978   ",2026-07-02 00:00:00.000,3105400,RAUL
2995,"GAS8951   ",2026-02-27 00:00:00.000,2101905,CAROLINA
2996,"EWS5112   ",2025-03-29 00:00:00.000,4318457,NOAH
2997,"SKF4311   ",2023-06-27 00:00:00.000,2507200,MARINA
2998,"PJG5827   ",2023-09-20 00:00:00.000,4107850,NATÁLIA
2999,"STX6343   ",2026-12-14 00:00:00.000,2413102,VALENTINA
3000,"EDZ9639   ",2023-08-25 00:00:00.000,4107256,LORENZO
3001,"NXA0686   ",2024-09-28 00:00:00.000,2918456,ALICE
3002,"VKY3448   ",2026-03-17 00:00:00.000,4306429,THOMAS
3003,"HMN4980   ",2026-11-18 00:00:00.000,3142205,IAN
3004,"QOL7894   ",2025-12-27 00:00:00.000,4113601,THEO
3005,"NCY5400   ",2023-08-09 00:00:00.000,2915205,ANA
3006,"CIO1183   ",2023-09-16 00:00:00.000,2313203,ANA
3007,"THW5062   ",2024-11-04 00:00:00.000,4320206,CAIO
3008,"YAD0608   ",2025-02-01 00:00:00.000,2509156,JULIANA
3009,"DAB5951   ",2024-02-07 00:00:00.000,4202008,LUNA
3010,"VPD8406   ",2025-05-01 00:00:00.000,1100296,LEVI
3011,"DFF9862   ",2025-02-11 00:00:00.000,1718758,BÁRBARA
3012,"WGJ2685   ",2026-03-22 00:00:00.000,2516300,ISABEL
3013,"VYT2184   ",2023-04-17 00:00:00.000,4306072,THALES
3014,"IPV1808   ",2026-09-04 00:00:00.000,3545803,PEDRO
3015,"UVV2455   ",2025-07-06 00:00:00.000,3172103,ARTHUR
3016,"HJK3798   ",2025-10-16 00:00:00.000,5106653,OTÁVIO
3017,"VJE9917   ",2026-03-31 00:00:00.000,3105004,SARAH
3018,"GFA5494   ",2023-05-21 00:00:00.000,2806008,MARIA
3019,"BYC2155   ",2026-04-13 00:00:00.000,3170651,ALÍCIA
3020,"JLY0495   ",2026-09-15 00:00:00.000,4211900,MIRELLA
3021,"WSU5583   ",2025-04-12 00:00:00.000,3112505,MURILO
3022,"YWS1905   ",2023-03-20 00:00:00.000,5107768,CAROLINA
3023,"AYE0521   ",2026-03-08 00:00:00.000,5221601,MARIANE
3024,"BTB7967   ",2025-02-27 00:00:00.000,3149002,CLARA
3025,"RYM3293   ",2026-01-31 00:00:00.000,2205607,GIOVANNA
3026,"ANA3613   ",2024-10-19 00:00:00.000,4212908,YURI
3027,"DMV7397   ",2024-12-11 00:00:00.000,3110202,ALANA
3028,"TEW4056   ",2026-03-18 00:00:00.000,1702406,ISABELLA
3029,"OEE7604   ",2025-01-28 00:00:00.000,5210406,DAVI
3030,"LBI9618   ",2023-11-12 00:00:00.000,4119004,ELISA
3031,"JAE0968   ",2023-09-12 00:00:00.000,2402105,JOAQUIM
3032,"PEM0187   ",2024-05-24 00:00:00.000,3126208,CALEBE
3033,"QMW8273   ",2023-05-17 00:00:00.000,5221304,REBECA
3034,"IHK0564   ",2023-07-11 00:00:00.000,3135076,MARCELO
3035,"ENH0184   ",2026-12-10 00:00:00.000,3104106,EMANUELLA
3036,"VVK4047   ",2024-05-03 00:00:00.000,2904308,CAROLINA
3037,"HPJ2682   ",2024-01-30 00:00:00.000,3108701,JOAQUIM
3038,"VYH4722   ",2026-03-14 00:00:00.000,2509404,GIOVANNA
3039,"OOB9542   ",2024-08-25 00:00:00.000,3137809,ANA
3040,"AOF5064   ",2023-09-05 00:00:00.000,3111002,ALÍCIA
3041,"OEQ7352   ",2026-10-11 00:00:00.000,2920007,LUANA
3042,"VMG7040   ",2023-08-09 00:00:00.000,3533007,ISIS
3043,"KKG0543   ",2025-12-19 00:00:00.000,2411205,DIEGO
3044,"KBE7388   ",2023-10-17 00:00:00.000,2806800,ANA
3045,"EDZ1622   ",2025-08-18 00:00:00.000,2904308,MARIA
3046,"FYY4029   ",2026-02-11 00:00:00.000,3137908,FRANCISCO
3047,"VLA6250   ",2026-03-25 00:00:00.000,2410603,ENZO
3048,"XCH7580   ",2024-06-17 00:00:00.000,1500602,CALEBE
3049,"BAT5593   ",2023-08-15 00:00:00.000,3105608,GUILHERME
3050,"YBD8615   ",2025-03-09 00:00:00.000,4310553,ALÍCIA
3051,"AOX8270   ",2026-06-26 00:00:00.000,2304301,ENRICO
3052,"XKO1515   ",2026-08-12 00:00:00.000,5103106,HENRIQUE
3053,"GCW3563   ",2026-07-12 00:00:00.000,2603009,DIOGO
3054,"UWU2720   ",2026-01-12 00:00:00.000,3123106,BEATRIZ
3055,"KQZ6113   ",2023-08-13 00:00:00.000,2208650,MARIA
3056,"KAS1183   ",2026-10-13 00:00:00.000,2210391,ALICE
3057,"FRA0462   ",2024-04-07 00:00:00.000,5200605,BRYAN
3058,"ZLD5270   ",2026-04-25 00:00:00.000,2916005,LETÍCIA
3059,"GDL6883   ",2023-07-13 00:00:00.000,1717206,PEDRO
3060,"VOE2003   ",2023-06-12 00:00:00.000,4120333,LUIZ
3061,"AWC9636   ",2024-05-28 00:00:00.000,1717008,IGOR
3062,"FSI8235   ",2024-10-27 00:00:00.000,2931301,KAMILLY
3063,"XDP7482   ",2026-04-16 00:00:00.000,3134202,MARINA
3064,"KZD8165   ",2025-06-23 00:00:00.000,5211008,DAVI
3065,"IXN3143   ",2024-10-06 00:00:00.000,2508604,CAIO
3066,"ROB7568   ",2025-10-03 00:00:00.000,4204558,VITÓRIA
3067,"WBK2402   ",2023-04-17 00:00:00.000,4217303,LUCAS
3068,"POK0751   ",2024-10-13 00:00:00.000,4321667,MARCOS
3069,"NAA4756   ",2023-07-31 00:00:00.000,4315552,LUANA
3070,"AMG5070   ",2024-07-28 00:00:00.000,3104106,MARINA
3071,"UVP1708   ",2024-05-13 00:00:00.000,3106655,DAVI
3072,"KHZ5815   ",2024-08-02 00:00:00.000,3162658,JUAN
3073,"CVU7322   ",2023-05-08 00:00:00.000,2926301,PIETRO
3074,"GBO0095   ",2023-03-29 00:00:00.000,3115805,NOAH
3075,"ELW5942   ",2026-06-06 00:00:00.000,3131505,EDUARDA
3076,"QOK3774   ",2025-12-21 00:00:00.000,2517209,MARIA
3077,"IDL0116   ",2026-12-25 00:00:00.000,2202729,MARCOS
3078,"YEA3803   ",2024-08-08 00:00:00.000,1506203,JULIA
3079,"LQF1972   ",2024-02-14 00:00:00.000,4116208,BRENDA
3080,"ACE1901   ",2025-04-18 00:00:00.000,2923035,JOÃO
3081,"OVY2277   ",2025-11-07 00:00:00.000,3136801,GIOVANNA
3082,"MLS3522   ",2025-05-26 00:00:00.000,2411007,LUIGI
3083,"VLF6647   ",2026-12-14 00:00:00.000,2211506,BIANCA
3084,"HHJ0327   ",2024-06-30 00:00:00.000,2604304,MILENA
3085,"YYS5172   ",2026-07-08 00:00:00.000,3545001,FERNANDO
3086,"NQH6013   ",2024-01-04 00:00:00.000,3529500,LUANA
3087,"MZA6412   ",2023-11-05 00:00:00.000,3160306,MARIA
3088,"ZBJ2500   ",2025-03-12 00:00:00.000,4117453,IAN
3089,"SWZ4190   ",2024-07-01 00:00:00.000,3166600,LEVI
3090,"GOI3755   ",2026-08-02 00:00:00.000,2702108,DAVI
3091,"RCZ5516   ",2024-05-26 00:00:00.000,4309951,NINA
3092,"YYM6907   ",2024-10-06 00:00:00.000,2931707,LEONARDO
3093,"KID5052   ",2023-03-27 00:00:00.000,2110708,LEONARDO
3094,"POX5188   ",2023-06-15 00:00:00.000,3166006,RAQUEL
3095,"EFE6497   ",2024-09-18 00:00:00.000,4215208,YURI
3096,"LBM4740   ",2023-05-04 00:00:00.000,5214804,RAQUEL
3097,"NLD4021   ",2023-12-07 00:00:00.000,2912301,LUCAS
3098,"YOG7950   ",2024-09-15 00:00:00.000,5007901,LUIZA
3099,"RTF6691   ",2024-03-06 00:00:00.000,3140704,CECÍLIA
3100,"YBR4619   ",2023-10-16 00:00:00.000,3515350,ERICK
3101,"UDN9621   ",2024-06-08 00:00:00.000,3108909,GUILHERME
3102,"IET0351   ",2026-12-11 00:00:00.000,1508407,BEATRIZ
3103,"PYP4491   ",2026-05-26 00:00:00.000,2607000,MARCOS
3104,"HBG4784   ",2024-07-19 00:00:00.000,5200100,LAÍS
3105,"BDT4108   ",2025-08-14 00:00:00.000,2209377,JOANA
3106,"BAL4783   ",2024-07-20 00:00:00.000,2412302,RODRIGO
3107,"YJR7224   ",2025-01-04 00:00:00.000,2204352,LUIZ
3108,"FBQ1571   ",2023-08-22 00:00:00.000,1506187,JÚLIA
3109,"RAP6315   ",2024-04-04 00:00:00.000,3145372,RODRIGO
3110,"KKT9090   ",2024-03-13 00:00:00.000,3516705,MARIA
3111,"XLP6135   ",2026-02-17 00:00:00.000,2908309,ESTHER
3112,"DRB6114   ",2024-07-12 00:00:00.000,2411007,JOÃO
3113,"EFI6059   ",2026-09-30 00:00:00.000,5106455,HENRIQUE
3114,"QNB1779   ",2024-10-10 00:00:00.000,4101804,YAGO
3115,"ONZ8599   ",2024-09-13 00:00:00.000,2105807,LUANA
3116,"UCC8505   ",2025-01-29 00:00:00.000,5212105,VITÓRIA
3117,"MKP2450   ",2026-01-17 00:00:00.000,5103353,YURI
3118,"NMC1536   ",2025-08-17 00:00:00.000,5100300,SABRINA
3119,"SYX8774   ",2023-12-28 00:00:00.000,2616001,MARIA
3120,"UHG5042   ",2024-04-25 00:00:00.000,5214705,LAURA
3121,"IGC5960   ",2026-07-15 00:00:00.000,3170305,GIOVANNA
3122,"QBQ7237   ",2024-09-09 00:00:00.000,3547502,JOÃO
